time,latitude,longitude,altitude,travelstate
1364770853,43.7591311,-72.329238,0,stationary
1364772053,43.7591345,-72.3292413,0,stationary
1364773253,43.7591311,-72.329238,0,stationary
1364774453,43.7591311,-72.329238,0,stationary
1364775653,43.7591311,-72.329238,0,stationary
1364776853,43.7591311,-72.329238,0,stationary
1364778053,43.7591311,-72.329238,0,stationary
1364779253,43.7591345,-72.3292411,0,stationary
1364780453,43.7591345,-72.3292411,0,stationary
1364781653,43.7591311,-72.329238,0,stationary
1364782853,43.7591311,-72.329238,0,stationary
1364784053,43.7591311,-72.329238,0,stationary
1364785253,43.7591311,-72.329238,0,stationary
1364786453,43.7591311,-72.329238,0,stationary
1364787653,43.7591311,-72.329238,0,stationary
1364788853,43.7591307,-72.3292378,0,stationary
1364790053,43.7591307,-72.3292378,0,stationary
1364791253,43.7591307,-72.3292378,0,stationary
1364792453,43.7591301,-72.3292367,0,stationary
1364793653,43.7591301,-72.3292367,0,stationary
1364794853,43.7591301,-72.3292367,0,stationary
1364796053,43.7591345,-72.3292412,0,stationary
1364797253,43.7591308,-72.3292379,0,stationary
1364798453,43.7591308,-72.3292379,0,stationary
1364799653,43.7591308,-72.3292379,0,stationary
1364800853,43.7591308,-72.3292377,0,stationary
1364802053,43.7591308,-72.3292377,0,stationary
1364803253,43.7591313,-72.3292337,0,stationary
1364804453,43.7591313,-72.3292337,0,stationary
1364805653,43.7591313,-72.3292337,0,stationary
1364806853,43.7591313,-72.3292337,0,stationary
1364808053,43.7591342,-72.3292417,0,stationary
1364809253,43.7591342,-72.3292417,0,stationary
1364810453,43.7591313,-72.3292337,0,stationary
1364811653,43.7591342,-72.3292415,0,stationary
1364812853,43.7591342,-72.3292415,0,stationary
1364814053,43.7591327,-72.3292374,0,stationary
1364815253,43.7591327,-72.3292374,0,stationary
1364816335,43.71244885,-72.30805423,137.3000031,
1364817653,43.7025385,-72.2903887,0,moving
1364818853,43.7055596,-72.2887052,0,moving
1364820053,43.7067172,-72.2872644,0,moving
1364821253,43.7067176,-72.2873271,0,moving
1364822453,43.7067396,-72.2873244,0,stationary
1364823653,43.7067236,-72.2873284,0,stationary
